0xa	0x11
0xd7	0x1306
0xe2	0x1328
0x103	0x134a
0x10f	0x136c
0x121	0x116a0x100
0x130	0x138e
0x13b	0x13b0
0x159	0x13d2
0x164	0x13f4
0x182	0x1416
0x18e	0x1438
0x1b5	0x35f
0x1e1	0x357
0x1eb	0x34d
0x1f3	0x344
0x1f9	0x335
0x21c	0x309
0x225	0x122d
0x331	0x220
0x349	0x1f7
0x353	0x1ef
0x35b	0x1e5
0x366	0x145a
0x372	0x147c
0x39c	0x3da
0x3ad	0x3d6
0x3e1	0x149e
0x3ec	0x14c0
0x416	0x14e2
0x422	0x1504
0x44f	0x1526
0x45b	0x1548
0x461	0x474
0x470	0x103d
0x481	0x156a
0x48c	0x158c
0x49f	0x15ae
0x4aa	0x15d0
0x4b1	0x116a0x49c
0x508	0x15f2
0x514	0x1614
0x540	0x1636
0x54c	0x1659
0x556	0x119d0x53d
0xaf2	0x1866
0xafe	0x1889
0xb08	0x119d0xaf0
0xcef	0x1943
0xcfb	0x1966
0xd07	0xf83
0xd15	0x1989
0xd21	0x19ac
0xd28	0x116a0xd13
0xd36	0x19cf
0xd42	0x19f2
0xd6f	0xdcd
0xe8e	0x1b27
0xe9e	0x1b5a
0xfb4	0xe8a
0xfc6	0xfce
0xfca	0xe97
0xffe	0x1c4c
0x1008	0x1016
0x100e	0xe8a
0x102c	0x100c
0x1244	0x1249
0x1da6	0x1e2a
0x1da8	0x1e27
0x1daa	0x1e24
0x1dac	0x1e1c
0x1dae	0x1e14
0x1db0	0x1e11
0x1db2	0x1e09
0x1db4	0x1e06
0x1db6	0x1e03
0x1db8	0x1e00
0x1dba	0x1df8
0x1dbc	0x1df5
0x1dbe	0x1dd4
0x1dc0	0x1dd1
0x1dc2	0x1dce
0x1dc4	0x1dcb
0x1dc6	0x1dc8
0x53d0x11b0	0x11c60x53d
0xaf00x11b0	0x11c60xaf0
0x1000x1185	0x118a0x100
0x49c0x1185	0x118a0x49c
0xd130x1185	0x118a0xd13
0xdf9V0x113	0x1a38B0x113
0xdf9V0x192	0x1a38B0x192
0xdf9V0x376	0x1a38B0x376
0xe04V0x3a0	0x1a5bB0x3a0
0xdf9V0x426	0x1a38B0x426
0xdf9V0x45f	0x1a38B0x45f
0xdf9V0x518	0x1a38B0x518
0xde3V0xd46	0x1a15B0xd46
0xde3V0x199	0x1a15B0x199
0xe04V0x103d	0x1a5bB0x103d
0xe82V0xf83	0x1af4B0xf83
0x111fV0xd4d	0x1152B0xd4d
0x1159V0xd4d	0x1ce8B0xd4d
0x112cV0xd4d	0x1ca9B0xd4d
0x1166V0xd4d	0x1123B0xd4d
0xe33V0xd8d	0x1a8eB0xd8d
0xe82V0x1016	0x1af4B0x1016
0x1038V0x1062	0x1c76B0x1062
0xf65V0xf69V0xfce	0xf3dB0xf69B0xfce
0xf41V0xf69V0xfce	0xf4aB0xf69B0xfce
0xecdV0x1d9e	0x1bd3B0x1d9e
0xf08V0x1d9e	0x1c29B0x1d9e
0xf29V0x1d9e	0xf10B0x1d9e
0xf14V0x1d9e	0xf1dB0x1d9e
0xeaeV0x1d9e	0x1b8dB0x1d9e
0xec0V0x1d9e	0x1bb0B0x1d9e
0xedfV0x1d9e	0x1bf6B0x1d9e
0xe82V0xee3V0x1d9e	0x1af4B0xee3B0x1d9e
